symbol,timestamp,open,close,volume,rsi,variation_1h,variation_6h,variation_24h,drawdown_future_24h,coingecko_id,market_cap_usd,category,twitter_followers,telegram_users,category_encoded
BABYUSDT,2025-04-14 12:00:00,0.12247,0.1168,40913993.0,29.84780157835397,-4.629705233934834,-8.248232521602505,-15.01127846903878,-22.977055605454396,,0.0,,0.0,0.0,0
BABYUSDT,2025-04-14 13:00:00,0.11677,0.11698,18329632.0,39.249271137026206,0.1541095890410959,-5.714515999032798,-13.883981154299164,-19.82529759355999,,0.0,,0.0,0.0,0
BABYUSDT,2025-04-14 14:00:00,0.11698,0.11383,33256694.0,30.650804758572377,-2.6927679945289773,-7.77021552422622,-14.593337334933976,-20.217131133527104,,0.0,,0.0,0.0,0
BABYUSDT,2025-04-14 15:00:00,0.11384,0.10774,36845778.0,15.46492659053827,-5.350083457787925,-11.550775798374511,-20.457733480989283,-20.019325368938855,,0.0,,0.0,0.0,0
BABYUSDT,2025-04-14 16:00:00,0.10773,0.10517,27756214.0,14.21686746987946,-2.3853721923148385,-15.34250986074217,-24.905390931810068,-15.483152325257588,,0.0,,0.0,0.0,0
BABYUSDT,2025-04-14 17:00:00,0.10522,0.1029,26049231.0,13.489568448127985,-2.158410193020821,-15.979423532293612,-28.167539267015695,-13.467021478806302,,0.0,,0.0,0.0,0
BABYUSDT,2025-04-14 18:00:00,0.10289,0.10392,19704749.0,10.681616996164024,0.9912536443148712,-11.027397260273975,-27.758081334723673,-11.721255709981536,,0.0,,0.0,0.0,0
BABYUSDT,2025-04-14 19:00:00,0.10391,0.10397,18999379.0,11.175395858708868,0.0481139337952241,-11.121559240895872,-25.01802971296697,-12.58781637955924,,0.0,,0.0,0.0,0
BABYUSDT,2025-04-14 20:00:00,0.10401,0.10377,15993243.0,11.888564949789426,-0.1923631816870274,-8.837740490204693,-24.618625599302636,-12.67185847514663,,0.0,,0.0,0.0,0
BABYUSDT,2025-04-14 21:00:00,0.10372,0.10374,13029014.0,13.26346223346583,-0.0289100896212812,-3.7126415444588834,-25.756816717956056,-12.427689934438884,,0.0,,0.0,0.0,0
BABYUSDT,2025-04-14 22:00:00,0.10374,0.10414,12018693.0,14.843180160466773,0.3855793329477608,-0.9793667395645134,-20.564454614797867,-12.444572970888764,,0.0,,0.0,0.0,0
